ID Desa,Desa,Kecamatan,Rendah,Sedang,Tinggi,Kelas,Jarak ke Ibu Kota Kabupaten (km),Jumlah Penduduk,Kepadatan Penduduk,Perempuan,Usia Lansia (60 ke atas),Usia Anak (0-14 tahun),Ibu Hamil,Tingkat Pendidikan (SMA/sederajat)
6101032001,Sarang Burung Danau,Jawai,0,3.61,55.31, Tinggi ,62,5862,122,2869,424,1655,104,374
6101032002,Sungai Nilam,Jawai,0,11,1.29, Sedang ,57,2407,133,1184,172,636,44,147
6101032003,Sarang Burung Kolam,Jawai,0.08,3.67,0, Sedang ,58,3404,257,1663,331,827,65,258
6101032004,Sarang Burung Usrat,Jawai,0,0.06,1.66, Tinggi ,54,4061,283,1964,329,1117,74,308
6101032005,Sarang Burung Kuala,Jawai,0,0.73,0, Sedang ,52,3062,282,1496,246,830,57,224
6101032006,Pelimpaan,Jawai,0,0.98,0, Sedang ,50,3313,187,1606,265,892,59,246
6101032008,Bakau,Jawai,0,0.80,3.37, Tinggi ,47,4171,417,2005,351,1113,75,274
6101032009,Sungai Nyirih,Jawai,0,10.62,13.24, Tinggi ,46,3172,296,1553,498,1261,59,576
6101032010,Sentebang,Jawai,0,12.64,8.89, Sedang ,43,7953,624,3831,794,2063,149,1014
6101032011,Dungun Laut,Jawai,0,22.36,1.69, Sedang ,45,3518,414,1739,385,884,67,462
6101032021,Lambau,Jawai,01.09,1.84,0, Sedang ,51,2314,319,1120,176,697,40,162
6101032022,Mutus Darussalam,Jawai,0,0.39,0, Sedang ,56,1664,139,829,119,426,30,74
6101052001,Pemangkat Kota,Pemangkat,47.56,27.04,56.41, Tinggi ,49,10615,488.04,5169,1390,2796,200,2129
6101052016,Sebatuan,Pemangkat,0.33,13.41,0, Sedang ,55,3636,133.43,1746,360,933,NULL,394
6101072001,Semelagi Besar,Selakau,0,14.88,0.24, Sedang ,69,3749,238,1832,353,996,76,416
6101072002,Sungai Daun,Selakau,0,21.28,0, Sedang ,71,4446,212,2166,376,1217,89,335
6101072003,Sungai Rusa,Selakau,5.65,19.93,10.64, Sedang ,66,3136,261,1519,270,804,63,366
6101072004,Sungai Nyirih,Selakau,0,7.13,4.79, Sedang ,64,4851,809,2374,498,1261,99,576
6101072005,Kuala,Selakau,0.38,0.22,10.49, Tinggi ,65,2665,303,1332,201,732,52,230
6101082001,Sebubus,Paloh,179.02,49.70,34.14, Rendah ,57,4721,30,4721,744,2546,193,1075
6101082002,Nibung,Paloh,21.52,0,0, Rendah ,53,1395,19,1395,270,702,57,559
6101082003,Malek,Paloh,29.48,0,0, Rendah ,49,1150,18,1150,181,632,48,229
6101082004,Tanah Hitam,Paloh,19.47,24.16,0, Sedang ,39,1842,30,1842,339,926,75,323
6101082005,Matang Danau,Paloh,13.48,03.06,11.50, Rendah ,35,2215,105,2215,453,1067,92,509
6101082006,Kalimantan,Paloh,0,0,40.31, Tinggi ,41,970,31,970,188,450,39,111
6101082007,Temajuk,Paloh,51.44,24.95,179.46, Tinggi ,109,1403,12,1403,112,760,NULL,242
6101082008,Mentibar,Paloh,7.17,4.33,9.50, Tinggi ,46,1277,35,1277,162,714,49,306
6101162001,Jawai Laut,Jawai Selatan,0,170.31,19.48, Sedang ,52,3144,139.92,1519,286,807,70,239
6101172002,Simpang Empat,Tangaran,46.40,50.88,21.93, Sedang ,33,3652,66,1784,556,1664,128,987
6101172007,Arung Parak,Tangaran,0,9.25,4.88, Sedang ,39,2931,375,1433,257,845,73,157
6101172008,Arung Medang,Tangaran,0,53.58,0, Sedang ,37,2110,204,1043,150,574,41,103
6101182001,Parit Baru,Salatiga,0.09,5.58,0.71, Sedang ,57,6094,244,2966,771,1742,85,959
